Name               Version                     Rev   Tracking  Publisher   Notes
chromium           78.0.3904.97                937   stable    canonical*  -
code               86405ea2                    19    stable    vscode*     classic
core               16-2.42.1                   8039  stable    canonical*  core
core18             20191030                    1265  stable    canonical*  base
gitkraken          6.3.1                       146   stable    gitkraken*  -
gnome-3-28-1804    3.28.0-14-g9303a49.9303a49  91    stable/…  canonical*  -
gnome-calculator   3.34.1+git1.d34dc842        544   stable/…  canonical*  -
gnome-characters   v3.32.1+git2.3367201        359   stable/…  canonical*  -
gnome-logs         3.34.0                      81    stable/…  canonical*  -
gtk-common-themes  0.1-25-gcc83164             1353  stable/…  canonical*  -
skype              8.54.0.85                   100   stable    skype*      classic
